timestamp,j1,j2,j3,j4,j5,j6,x,y,z,alpha,beta,gamma
411791730.0,0.0,0.0,0.0,0.0,0.0,0.0,119.95075,16.18497,218.81607,174.84338,0.0,2.0
411802016.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411812396.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411822775.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411833108.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411843441.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411853774.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411864108.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411874487.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411884820.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411895153.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411905486.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411915820.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411926153.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411936532.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411946865.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411957198.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411967532.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411977865.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411988244.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
411998577.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
412008910.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
412019244.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
412029577.0,0.0,0.0,0.0,0.0,0.0,0.0,119.94943,16.33436,218.81595,174.7841,0.0,2.0
